question,answer,similar_questions
What are the charges and prices for Vyapar plans?,"Vyapar pricing depends on the **plan type**, **device type**, and **subscription duration**.

#### **Available plan types**
- Silver  
- Gold  
- Manufacturing Pro  
- Retail Pro  
- Distributor Pro  
- Vyapar Platinum  
---

#### **Device options**
- Mobile  plans
- Desktop  plans 
- Mobile + Desktop (Combo) plans 
---
#### **Subscription duration**
- 1 Year plan  
- 3 Years plan 

---

#### **Important pricing notes**
- The **final payable amount** (including **GST and applicable discounts**) is shown **only after clicking Buy Now**
- **Renewal prices** are usually **lower than new purchase prices**

---

## **Vyapar Plan Prices (Excluding GST)**

### **1-Year Desktop Plans**
- Silver: 3399 + GST  
- Gold: 3699 + GST  
- Manufacturing Pro: 8999 + GST  
- Retail Pro: 8999 + GST  
- Distributor Pro: 8999 + GST  
- Vyapar Platinum: 9999 + GST  

---

### **1-Year Mobile Plans**
- Silver: 699 + GST  
- Gold: 799 + GST  
- Manufacturing Pro: 1599 + GST  
- Retail Pro: 1599 + GST  
- Distributor Pro: 1599 + GST  
- Vyapar Platinum: 2099 + GST  

---

### **3-Year Desktop Plans**
- Silver: 7799 + GST  
- Gold: 8199 + GST  
- Manufacturing Pro: 19799 + GST  
- Retail Pro: 19799 + GST  
- Distributor Pro: 19799 + GST  
- Vyapar Platinum: 21999 + GST  

---

### **3-Year Mobile Plans**
- Silver: 1499 + GST  
- Gold: 1699 + GST  
- Manufacturing Pro: 3599 + GST  
- Retail Pro: 3599 + GST  
- Distributor Pro: 3599 + GST  
- Vyapar Platinum: 5299 + GST  

---

### **Desktop + Mobile (Combo) Plans**

#### **1-Year Combo**
- Silver: 3399 + GST  
- Gold: 4299 + GST  
- Manufacturing Pro: 9999 + GST  
- Retail Pro: 9999 + GST  
- Distributor Pro: 9999 + GST  
- Vyapar Platinum: 11999 + GST  

#### **3-Year Combo**
- Silver: 8699 + GST  
- Gold: 8999 + GST  
- Manufacturing Pro: 21999 + GST  
- Retail Pro: 21999 + GST  
- Distributor Pro: 21999 + GST  
- Vyapar Platinum: 25999 + GST  

---

**Note for AI Bot Handling:**
- If the user asks **“exact payable amount”**, guide them to **Plans & Pricing → Buy Now**
- If the user asks **which plan to choose**, ask about:
  - Business type
  - Mobile vs Desktop usage
  - Feature requirement
- If the user asks for **extra discount**, check sale status or **escalate to senior agent**
","- Vyapar ka plan kitne ka aata hai?
- Silver aur Gold plan ka price kya hai?
- Mobile aur Desktop license ka rate alag-alag kyu hai?
- 1 saal aur 3 saal ke plan ka charge kitna hai?
- Combo plan (Mobile + Desktop) ka price kya hai?
- Renewal sasta hota hai ya naya purchase?
- Final amount me GST include hota hai kya?
- Buy Now pe click karne ke baad hi price kyu dikhta hai?
- Manufacturing / Retail / Distributor Pro ka price kya hai?
- Mera business ke liye kaunsa plan best rahega?
"
"How can I get a free trial of the Vyapar app, and what are the limits and duration?","A **free trial** allows you to try the Vyapar app to understand its features and suitability for your business.

#### **Free Trial & Free Usage Details**

##### **Mobile App (Android & iOS)**
- The Vyapar mobile app is **free to use**, but with **limitations**
- There is **no time-based free trial** on mobile

In the free mobile version:
- You can create up to **5 bills per week**
- You can create up to **2 companies**
- **Premium features are not available**

To remove these limits, you must **purchase a Vyapar license**.

---

##### **Desktop App (Windows & Mac)**
- The Vyapar Desktop app provides a **7-day free trial**
- The trial starts from the **first login**

During the 7-day trial:
- **Unlimited bills** can be created
- **Unlimited companies** can be created
- **All premium features** are available

After the trial ends:
- Premium features are disabled
- You can **only view existing data**
- You **cannot create or edit bills**

To continue using the Desktop app, **purchasing a license is mandatory**.

---

#### **How to get the free trial**
- **Desktop**: Download the app from **vyaparapp.in** and log in for the first time
- **Mobile**: Download the app from the **Play Store (Android)** or **App Store (iOS)**

The free trial (Desktop) or free version (Mobile) is **automatically applied** on first login.

---

#### **Important Notes**
- If the app asks you to purchase a license immediately, it means the **free trial was already used earlier**
- Free trial **cannot be extended**
- If the user insists on trial extension, **escalate to a senior agent**

---
","- New user hoon, free trial kaise milega?
- Mobile me free trial hota hai kya?
- Desktop free trial kitne din ka hota hai?
- Free trial me kaun-kaun se features milte hain?
- Trial khatam hone ke baad kya hoga?
- Trial already use ho gaya to kya karein?
- Free trial extend ho sakta hai kya?
"
"What is a Vyapar demo, and how can I get one?","A **demo** helps you understand **how to use the Vyapar app**. It does not extend the free trial.

#### **Demo options available**

##### **Self-learning demo (Video Tutorials)**

**Desktop App (Windows & Mac):**
- Go to **Help** (top-left menu)
- Select **Video Tutorials**
- Click **View All** to watch demo videos

**Mobile App (Android):**
- Open the app
- Go to **Menu**
- Tap **Help & Support**
- Select **Tutorials**
- Watch available demo videos

**iOS App:**
- Tutorials are **not available** in the iOS app
- Use:
  - Vyapar **Desktop App**, or
  - Vyapar **Android App** to watch demo videos

---

#### **Need a live demo from an agent?**
- If the user requests a **personal or live demo**:
  ➡️ **Escalate the request to a senior agent** for demo scheduling
","- Vyapar ka demo kaise milega?
- App use karna kaise hai, demo dikha do
- Tutorial videos kaha milenge?
- Live demo agent se mil sakta hai kya?
"
Where can I see the Vyapar plans list and pricing on all platforms?,"You can view the **Vyapar plans list and base pricing (excluding GST)** on the following platforms:

---

#### **Android Mobile App**
- Open the app and go to **Menu → Plans & Pricing**
- Tap the **three dots (top-right corner)**
- Select **Buy Multiple License**
- The **full list of Vyapar plans with pricing (excluding GST)** will be displayed

---

#### **iOS Mobile App**
- The **Buy Multiple License** option is **not available** on iOS
- To view the plans list and pricing, please use the **Vyapar website**

---

#### **Desktop App (Windows & Mac)**
- Open the app and go to **Menu → Plans & Pricing**
- Click the **three dots (top-right corner)**
- Select **Buy Multiple License**
- The **complete list of Vyapar plans with pricing (excluding GST)** will be displayed

---

#### **Vyapar Website**
- Visit **vyaparapp.in**
- Log in using your **license-registered mobile number or email**
- Go to **Pricing**
- You can view all **available plans and pricing**

---

**Important Note:**
- Prices shown are **base prices (excluding GST)**
- The **final payable amount** (including GST and any applicable discounts) is shown **only after clicking Buy Now**
","- Vyapar ke saare plans aur price kaha dikhenge?
- Mobile app me plan list kaise dekhein?
- iPhone me pricing option kyu nahi dikh raha?
- Desktop me plans & pricing kaha milega?
- Website par Vyapar ke plans kaise check karein?
- Buy Now se pehle price kaise dekhein?
"
How do I attach or activate my Vyapar license on a device?,"After purchasing a **Vyapar license**, it must be **manually attached to the device** using the **same mobile number or email ID** that was used at the time of purchase.  
If the license is **not attached**, **premium features will not activate**.

---

## **Steps to attach or activate a Vyapar license**

### **Android Mobile App**
- Open the app and go to **Menu → Plans & Pricing**
- Tap the **three dots (top-right corner)** and select **Attach License**
- Under **“I already have a license”**, tap **Attach License**
- Log in using the **license-registered mobile number or email**
- Ignore the **“Enter License Code”** option if it appears
- Scroll down to view the **active license list** (license name and validity)
- Select the required license
- Tap **Attach / Change to this device**
- You will see **“License attached successfully”**

**Note:**  
If no license appears, make sure you are logged in with the **correct registered mobile number or email**.

---

### **iOS Mobile App**
- Open the app and go to **More → Plans & Pricing → Attach License**
- Log in using the **license-registered mobile number or email**
- Ignore the **“Enter License Code”** option if it appears
- Scroll down to view the **active license list**
- Select the required license
- Tap **Attach / Change to this device**
- You will see **“License attached successfully”**

**Note:**  
If no license appears, confirm that you used the **correct registered mobile number or email**.

---

### **Desktop App (Windows & Mac)**
- Open the app and go to **Menu**
- **Scroll down to the very bottom** of the menu list  
        *Plans & Pricing is the **last option** in the Menu*
- Click on **Plans & Pricing** 
- Click the **three dots (top-right corner)** and select **Attach License**
- Log in using the **license-registered mobile number or email**
- Ignore the **“Enter License Code”** option if it appears
- Scroll down to view the **active license list**
- Select the required license
- Click **Change to this device**
- You will see **“License attached successfully”**

**Note:**  
If no license appears, verify that you are logged in with the **license-registered details**.

---

## **Important Notes**
- If the **“Attach License”** option is **not visible** under the three-dot menu:
  - Ask the user to **check the three-dot menu again carefully**
  - If it is still not visible, it means the **license is already attached** to this device
- In that case:
  - Open **License Info** from the same three-dot menu
  - Check the **attached license name**
  - Check the **license validity / expiry date**

If license details are visible but **premium features are still locked**:
- Ensure the **device date and time** are set correctly
- **Close the app completely** and reopen it

This usually resolves the issue without any further action.  
If the issue still continues, **escalate the case to a senior agent**.
","- Mere ko license attach karna hai, kya karna padega?
- Desktop me Vyapar open kar raha hoon, license attach kaise hoga?
- Maine mobile + desktop license liya hai, par desktop me license maang raha hai
- Laptop me Vyapar install kiya hai, par “trial expired” likha aa raha hai
- Software bol raha hai license attach nahi hai, kaise activate karein?
- Vyapar license maang raha hai jab bill bana raha hoon
- Purchase ho chuka hai, phir bhi license attach karne ko bol raha hai
- Desktop me license kaha se attach karna hota hai?
- License dobara activate karna hai, process bata dijiye
"
Why is my Vyapar license not visible after logging in during license attachment?,"If the **Vyapar license is not visible** after logging in during the license attachment process, it can be due to one of the following reasons:

---
#### **Possible reasons**
- You are logged in using a **mobile number or email that is not registered** with the license purchase, or
- The license was **purchased recently** and is **still being generated**

---
#### **Important Notes**
- After a successful purchase, **license generation can take up to 30 minutes**
- During this time, the license **may not appear immediately** in the license list

---
#### **What you should do**
- Make sure you are logging in with the **same mobile number or email** used at the time of license purchase
- Wait for **up to 30 minutes** after payment completion

---

#### **When to Escalate**
- If the license is **still not visible after 30 minutes**, even after logging in with the **correct registered mobile number or email**  

➡️ **Escalate the case to a senior agent** for further verification and assistance.
","- License attach karte time license list me kyu nahi dikh raha?
- Login karne ke baad bhi license show nahi ho raha
- Maine license kharida hai, par attach screen par nahi aa raha
- Kaunsa number se login karna chahiye license attach karte time?
- Payment ho gaya hai, phir bhi license nahi dikh raha
"
"I purchased a Vyapar plan, but the app still shows “Subscription Over”, ads, or asks “Get Gold / Get Silver”. What should I check?","If you have **already purchased a Vyapar plan** but still see **ads**, **“Subscription Over”**, or **“Get Gold / Get Silver”** while creating a sale bill, follow the steps below.

---

### **Step 1: Check whether the license is attached**
- Go to **Menu → Plans & Pricing → License Info**

**Result check:**
- If **license details are visible** → The license is **attached** to this device
- If **no license details are visible** → The license is **not attached**

➡️ **Action:**  
Attach the license to the **current device**.

---

### **Step 2: Check device date and time**
If the license is visible but the issue still continues:
- Ensure the **device date and time** are correct
- Keep **Date & Time** set to **Automatic**

---

### **Step 3: Restart the app**
- Close the app completely
- Reopen the app
- Try creating the sale bill again

✅ In most cases, this resolves the issue.

---

### **Important Note**
- **Ads and watermarks are removed only after the correct license is attached** to the device
- Simply purchasing a license is **not enough**—it must be **attached to the device**

---

### **When to Escalate**
- If the issue **still persists after completing all the above steps**  

➡️ **Escalate the case to a senior agent** for further verification and resolution.
","- Maine plan kharid liya hai, phir bhi Subscription Over kyu aa raha hai?
- Ads kyu dikh rahe hain jab license active hai?
- Sale bill banate time Get Gold / Get Silver kyu aa raha hai?
- License lene ke baad bhi premium features kyu lock hain?
- Watermark kyu nahi hata?
"
How can I check my attached or active Vyapar license details?,"You can check your **Vyapar license expiry date, remaining validity days, current plan, license ID, and attached device details** from the **Mobile App**, **Desktop App**, or the **Vyapar website**, depending on the platform you are using.

---

#### **Vyapar Mobile App (Android)**
- Open the app and go to **Menu**
- Tap **Plans & Pricing**
- Tap the **three dots (top-right corner)**
- Select **License Info**

Here you can view:
- **License expiry date**
- **Remaining validity days**
- **Current plan attached to the device**

**Important Notes (Android):**
- If **no license details are visible**, the license is **not attached** to this device  
  → Attach the license first.
- If license details are visible but the app still shows **expired**:
  - Check the **device date and time**
  - Close and reopen the app

---

#### **Vyapar Mobile App (iOS)**
- **License Info is not available** in the iOS app  
- Please use the **Vyapar website** to check license expiry, plan details, license ID, and device information

---

#### **Vyapar Desktop App (Windows & Mac)**
- Open the app and go to **Menu**
- Click **Plans & Pricing**
- Click the **three dots (top-right corner)**
- Select **License Info**

Here you can view:
- **License expiry date**
- **Remaining validity days**
- **Current plan attached to the device**

**Important Notes (Desktop):**
- If **no license details are visible**, the license is **not attached**  
  → Attach the license first.
- If license details are visible but shows expired:
  - Check the **system date and time**
  - Restart the app

---

#### **Vyapar Website**
- Visit **vyaparapp.in**
- Log in using the **license-registered mobile number or email**
- Go to **My Account → Already Have License**

You can view:
- **Current plan**
- **License ID**
- **License expiry date**
- **Remaining validity days**
- **Attached device details**

---

#### **Quick Summary**
- **License not visible** → License not attached  
- **License visible but expiry shown** → Check date & time → Restart app  
- **Issue still continues** → Escalate to support
","- Mera license active hai ya nahi, kaise check karein?
- License ki expiry date kaha dikhegi?
- License ke kitne din remaining hain, kaise pata chalega?
- Mera current Vyapar plan kaunsa hai?
- Mera kaunsa plan hai (Gold ya Silver), kaise maloom chalega?
- App mujhe bata sakta hai mera plan Gold hai ya Silver?
- License attach hai ya nahi, kaise confirm karein?
- App me license expired dikha raha hai, kaise verify karein?
- Desktop ya mobile me license details kaha milengi?
- Website se license expiry aur plan details kaise check karein?
- Mera license code ya license ID kya hai?
- Kya aap mera license code ya ID bata sakte ho?
- Mera device ID kya hai?
"
How can I buy a new Vyapar license?,"You can purchase a **new Vyapar license** using the **Mobile App (Android)**, **Desktop App (Windows & Mac)**, or the **Vyapar website** by following the steps below.

---

### **Android Mobile App**
- Open the app and go to **Menu → Plans & Pricing**
- Tap the **three dots (top-right corner)**
- Select **Buy Multiple License**
- Select the **device type** (Desktop / Mobile / Desktop + Mobile (Combo))
- Choose the **plan duration** (1 year / 3 years)
- Select the required **plan**
- Tap **Buy Now**
- View the **final price** and proceed with the purchase

---

### **iOS Mobile App**
- The **Buy Multiple License** option is **not available** on iOS
- To purchase a license, please use the **Vyapar website**

---

### **Desktop App (Windows & Mac)**
- Open the app and go to **Menu → Plans & Pricing**
- Click the **three dots (top-right corner)**
- Select **Buy Multiple License**
- Select the **device type** (Desktop / Mobile / Desktop + Mobile (Combo))
- Choose the **plan duration** (1 year / 3 years)
- Select the required **plan**
- Click **Buy Now**
- View the **final price** and proceed with the purchase

---

### **Vyapar Website**
- Visit **vyaparapp.in**
- Log in using the **mobile number or email ID** you want to use for license purchase
- Go to **Pricing**
- Select the **device type** (Desktop / Mobile / Desktop + Mobile (Combo))
- Choose the **plan duration** (1 year / 3 years)
- Select the plan as per your requirement
- Click **Buy Now**
- View the **final payable amount** and complete the purchase

---

### **Important Note**
- The **final payable amount** (including **GST and applicable discounts**) is shown **only after clicking Buy Now**
","- Naya Vyapar license kaise kharidein?
- Mobile se license purchase ho sakta hai kya?
- Desktop app me license lene ka process kya hai?
- iPhone se license kaise kharidein?
- Website se license buy karna safe hai kya?
- Final price kaha dikhega?"
How can I renew my Vyapar license?,"You can renew your **Vyapar license** using the **Mobile App (Android)**, **Desktop App (Windows & Mac)**, or the **Vyapar website**, as explained below.

---

### **Android Mobile App**
- Open the app and go to **Menu → Plans & Pricing**
- In the **Plans & Pricing** section, you will see:
  - Your **currently active plan**
  - A **higher plan** than your current plan
- Click **Renew** on the plan you want to renew
- View the **final price**
- Click **Pay**
- Choose the **payment method** of your choice and complete the payment

---

### **iOS Mobile App**
- The **license renewal option is not available** in the iOS app  
- To renew your license, please use the **Vyapar website**

---

### **Desktop App (Windows & Mac)**
- Open the app and go to **Menu → Plans & Pricing**
- In the **Plans & Pricing** section, you will see:
  - The **currently active plan**
  - A **higher plan** than your current plan
- Click **Renew** on the plan you want to renew
- View the **final price**
- Click **Pay**
- Choose the **payment method** of your choice and complete the payment

---

### **Important Note**
- License renewal is available only for:
  - The **current plan** you are using, or
  - A **higher plan** than your current plan
","- Mera Vyapar license renew kaise karein?
- Mobile app se license renew ho jayega kya?
- Desktop me renewal ka option kaha milega?
- iPhone me license renew kaise hoga?
- Renewal ke time kaunsa plan select kar sakte hain?
- Higher plan me renew kar sakte hain kya?
"
